epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,871.851,0.71202,0.42072,0.91047,0.67895,0.58293,0.62879,0.35739,1.19388,0.80271,1.13993,0.0001684,0.0001684,0.0001684
86,882.123,0.67948,0.42397,0.92606,0.7094,0.57961,0.61486,0.34181,1.19237,0.77599,1.14499,0.0001585,0.0001585,0.0001585
87,892.426,0.68167,0.43085,0.9044,0.69627,0.60333,0.63209,0.38226,1.19569,0.7728,1.14642,0.0001486,0.0001486,0.0001486
88,902.676,0.68051,0.41332,0.92084,0.70026,0.60344,0.62442,0.37272,1.1799,0.79439,1.13342,0.0001387,0.0001387,0.0001387
89,913.009,0.65959,0.38725,0.91481,0.71387,0.57473,0.61981,0.3533,1.17722,0.81292,1.13502,0.0001288,0.0001288,0.0001288
90,923.237,0.65824,0.38899,0.90261,0.70788,0.59019,0.62497,0.35627,1.18009,0.82066,1.13386,0.0001189,0.0001189,0.0001189
91,934.73,0.68322,0.39606,0.91515,0.68428,0.56855,0.6185,0.37134,1.17606,0.8188,1.13242,0.000109,0.000109,0.000109
92,945.108,0.64484,0.38734,0.89622,0.74586,0.53931,0.61849,0.37019,1.19644,0.8279,1.14202,9.91e-05,9.91e-05,9.91e-05
93,955.36,0.6226,0.35685,0.88427,0.67108,0.57921,0.61301,0.37925,1.18991,0.82394,1.13955,8.92e-05,8.92e-05,8.92e-05
94,965.571,0.63844,0.36235,0.88645,0.7359,0.54666,0.62176,0.38433,1.1951,0.82634,1.14523,7.93e-05,7.93e-05,7.93e-05
95,975.874,0.6441,0.39132,0.90951,0.6959,0.553,0.60348,0.37853,1.19384,0.8232,1.14575,6.94e-05,6.94e-05,6.94e-05
96,985.739,0.63105,0.35774,0.88714,0.75638,0.5262,0.60473,0.36878,1.18349,0.81654,1.1378,5.95e-05,5.95e-05,5.95e-05
97,996.011,0.62115,0.36334,0.88753,0.6949,0.49646,0.58228,0.35809,1.17915,0.81987,1.13275,4.96e-05,4.96e-05,4.96e-05
98,1006.47,0.6302,0.36325,0.88419,0.74026,0.55567,0.61027,0.3605,1.17494,0.81755,1.13088,3.97e-05,3.97e-05,3.97e-05
99,1016.38,0.60516,0.34434,0.87916,0.73685,0.55536,0.61106,0.35986,1.17966,0.82084,1.13521,2.98e-05,2.98e-05,2.98e-05
100,1026.51,0.62724,0.359,0.87748,0.71905,0.55821,0.61146,0.36865,1.18014,0.81983,1.13582,1.99e-05,1.99e-05,1.99e-05
